chrom,start,pvEW,l2EW,pvWY,l2WY
chr1,4265997,0.00670895334331061,-0.874469117916141,0.158926952933573,0.874469117916141
chr1,4497707,2.46162467284278e-05,4.00529429966951,0.759670733123188,-0.265053573470446
chr1,4518476,0.237200315651464,2,0.00974234286050403,-Inf
chr1,4543916,0.00300896961963776,1.4594316186373,,0
chr1,4617561,1,-0.115477217419936,0.00429037050345715,-1.75899190049621
chr1,4617582,,0,0.000194269498897417,-2.58496250072116
chr1,4654305,0.107356958975999,0.547487795302493,0.000179142160351913,-Inf
chr1,4654332,0.987467654182417,-0.10350457575386,0.00298911190549991,-2.92891690193852
chr1,4723297,,0,0.00562613923822056,-1.28010791919274
chr1,5750646,0.00403332658816585,-1.48542682717024,0.412588754977027,0.807354922057604
chr1,6710488,0.00769551517862036,-Inf,0.0704243494242007,Inf
chr1,7090166,0.00208708004261257,-Inf,0.891161643537911,Inf
chr1,9364747,0.0194365526657256,-1.65207669657969,0.0018605242881465,1.77760757866355
chr1,9546871,0.00155872891809903,1.76553474636298,0.319135327216304,-0.341036917835067
chr1,9824594,1,-0.0345572220363686,0.00940889603975207,-1.75899190049621
chr1,9960142,0.786647943671067,-1.10691520391651,0.00765437954822623,2.52724700286487
chr1,9972808,0.967409476776698,-Inf,0.00626475407728814,Inf
chr1,10037300,0.00592350653634394,-Inf,,
chr1,10993114,1,-0.0535494682767342,0.000295387975179175,-3.00946032924907
chr1,10993123,0.957554869387514,-0.122396631359727,0.00251958603863411,-Inf
chr1,11401615,0.768114563349973,0.389042290745899,0.00800994232988004,-3.32192809488736
chr1,12647273,0.0638739103066152,-1.70043971814109,0.00160030723441061,1.60733031374961
chr1,12990012,0.00081046940474825,1.58496250072116,0.858618356729748,-0.125530882083859
chr1,13093457,0.00860807885646543,Inf,0.34577858615116,-1
chr1,13188507,0.000197700479180631,-2.0703893278914,0.949623900153451,-0.432111012637785
chr1,13188705,0.34090381592813,-0.485426827170242,0.0040963504485943,-Inf
chr1,13575991,0.00107925257600606,-2.47804729680464,1,-0.62148837674627
chr1,13576139,0.00610225425189074,-3.11839470080223,1,0.906890595608519
chr1,14308003,4.58999304061875e-05,-Inf,,
chr1,14308141,0.0023002477407053,-2.08488889758651,0.644227659325018,-1.47804729680464
chr1,14309236,0.00119847135731448,-3.35989594508638,1,-Inf
chr1,14833862,0.505343217430342,0.321928094887362,0.00639377984462243,-0.84799690655495
chr1,15028237,0.923441154468632,-0.362570079384708,0.00576934053079848,1.60698880705116
chr1,15046268,0.00755750818575659,-1.5405683813627,0.75151734742286,0.678071905112638
chr1,15161243,0.0733960818458925,-1.20645087746743,0.00565787232685342,1.47804729680464
chr1,15550963,0.30676116968994,0.465974464504069,0.00302462011216226,-Inf
chr1,15679357,0.687585891128654,0.202043775944645,0.00630369025600581,-1.13492958008611
chr1,15683405,,0,0.00459484916345797,-1.08746284125034
chr1,15800633,0.556975806531174,0.447458976971221,0.0043964994198016,-1.76938707185858
chr1,16518127,0.00570817390119828,-1.96347412397489,0.766627500245108,0.630050390249694
chr1,17300448,1,-0.0106472441995085,0.00431230775693023,-1.51986747249927
chr1,18443402,0.83229568789632,0.196397212803503,0.00568510357648675,-2.54432051622381
chr1,18706098,0.00429037050345715,3.2410080995038,0.324755765402619,-0.610957709254101
chr1,21159048,0.082810765879759,-0.819427754358179,0.00518732472295311,1
chr1,21829748,0.00297045240782917,-2.23703919730085,1,-0.125530882083859
chr1,22422434,0.00388257767940244,-1,0.227106142158723,0.758991900496205
chr1,22534599,0.173541022841913,-0.977279923499917,0.00293213862315525,1.52724700286487
chr1,22930105,0.0049654667728597,-1.12810482574769,0.0613685349734105,0.958179824305373
chr1,23077281,0.0536766297298802,-1.42701014094492,0.000515867403327419,1.79646660591487
chr1,23257686,0.00748188273732918,-2.08091999538357,0.0976500416791326,1.52837897235479
chr1,23491304,0.00251958603863411,-1.41503749927884,0.132529139996842,1
chr1,23538604,0.362379647315707,-0.85982234195174,0.00821021557733965,1.22239242133645
chr1,23917642,0.935574188072435,0.163975735111126,0.000399246963201982,-2.68182403997375
chr1,24612633,0.999999999999998,0.209542999069436,1.92564230537444e-20,5.33191218345998
chr1,24612737,0.348632382263757,0.588555318020381,5.4274401132174e-32,4.93373632445549
chr1,24612738,0.146861545732478,-0.976810761311933,2.0113976006236e-105,6.89719719940467
chr1,24613072,0.236950759111257,0.948577957232109,7.10983235299952e-53,5.96789868720561
chr1,24613212,0.42400888000674,0.869898277817387,1.070049161092e-21,5.95346896222885
chr1,24613233,0.845129040562924,0.431963414802382,1.51073260587127e-19,5.91587937883577
chr1,25109846,0.00442184525142609,-2.15987133677839,0.275214128735737,1.35989594508638
chr1,25607021,0.0147265352679457,-1.40439025507934,0.00765437954822623,1.48542682717024
chr1,25860204,0.192904533111736,-1.62148837674627,0.00705072911042274,1.92599941855622
chr1,25962241,0.147736810491217,-Inf,0.00215829919689719,Inf
chr1,26499577,0.586746145727683,0.263034405833794,0.00799875047162821,-1.46948528330122
chr1,26590807,0.0447084005234524,-2.14438990933517,0.00186909018098188,2.44057259138598
chr1,26670205,0.185876732365876,-1.15200309344505,0.00893417913557344,1.32192809488736
chr1,28589494,0.102959564767238,0.53051471669878,0.00712589898185289,-2
chr1,29383215,0.00374512841487797,-1.41503749927884,0.0747913775869444,1
chr1,29608691,7.57261491870926e-05,-2.29593288635442,0.000411009171608976,2.15842936260448
