chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	85040499	85040499	+	1.37339036808738e-06	7.45342425629886e-05	-48.2913165266106
chr1	85168493	85168493	+	0.00217142460649901	0.0382641108351354	-29.5454545454545
chr1	85651993	85651993	+	0.000163975799072119	0.00456003343129865	-31.9686411149826
chr1	88253082	88253082	+	6.89585986029643e-05	0.00214899825172333	-36.2382629107981
chr1	88258660	88258660	+	3.88634982193907e-05	0.00133875063983547	-36.4705882352941
chr1	88258921	88258921	+	0.000115514067383159	0.00342650894930054	-30.2083333333333
chr1	88262169	88262169	+	0.00211237219631707	0.0375540176186936	-30.3883909517712
chr13	64833808	64833808	+	0.00268127655784762	0.0447851216433969	-42.4908424908425
chr13	119488308	119488308	+	2.45636603616674e-05	0.000894233965302778	-37.7896613190731
chr13	119488315	119488315	+	8.68294960593255e-07	5.03928536764068e-05	-41.5151515151515
chr13	119488333	119488333	+	0.00080104637637933	0.0169725313217486	-29.3129770992366
chr13	119488337	119488337	+	0.000131146355159603	0.00379190295910189	-30.9306569343066
chr13	119488342	119488342	+	0.000143442203296178	0.00410298259392587	-26.5934065934066
chr13	119488349	119488349	+	8.77355677222957e-06	0.000368859921190666	-28.270787343635
chr13	119488352	119488352	+	4.57077183531755e-06	0.000207408041877702	-28.0752916224814
chr13	119488356	119488356	+	4.84936356005224e-06	0.000218195354933005	-28.4779050736498
chr13	119488749	119488749	+	2.15693123866109e-10	2.97844143668374e-08	-29.1025641025641
chr18	3007646	3007646	+	0.00239632169733947	0.0413626064605719	-29.2753623188406
chr4	146446929	146446929	+	0.000402005150017495	0.00953978524281922	-32.6781326781327
chr5	14903509	14903509	+	0.00116813460032954	0.0233017263040263	-25.3149974800202
chr5	15005813	15005813	+	0.00037136637396163	0.00899936511149296	-41.7798913043478
chr5	15466531	15466531	+	0.000541075163175512	0.01224746140964	-27.9366134751773
chr5	15508620	15508620	+	3.6542142940042e-05	0.00126695967018742	-34.8076923076923
chr5	15589271	15589271	+	0.000158268407399003	0.00444107759784424	-38.7878787878788
chr5	15589806	15589806	+	1.21028278774613e-07	8.81200896355703e-06	-41.4651162790698
chr5	15630437	15630437	+	1.6684286125831e-05	0.000640888277978045	-31.4329738058552
chr5	15644550	15644550	+	5.33125381850503e-05	0.00172170379685991	-32.1892393320965
chr9	3036482	3036482	+	0.000458351342164202	0.0106404543001305	-29.2270531400966
chrX	169981233	169981233	+	6.96194154221357e-05	0.00216537888401852	-37.4169435215947
chrY	90808877	90808877	+	2.05943084374419e-05	0.000770751179347672	-25.5236305048335
