PeakID (cmd=annotatePeaks.pl filtered_anova_cluster3.tsv mm10 -go filtered_anova_cluster3_anno_go -annStats filtered_anova_cluster3_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-9	chr12	20234362	20234361	-	0.794871794871795	NA	Intergenic	RLTR1D2_MM|LTR|ERV1	581418	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-8	chr12	20234320	20234319	-	0.710526315789474	NA	Intergenic	MMERGLN-int|LTR|ERV1	581460	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-28	chr8	19705797	19705796	-	0.666666666666667	NA	Intergenic	Intergenic	-23780	NM_001270553	100861668		NM_001270553	ENSMUSG00000095294	Potefam3b	Gm21119|Pote3b	POTE ankyrin domain family member 3B	protein-coding
1-20	chr4	3253998	3253997	+	0.571428571428571	NA	TTS (NR_166062)	TTS (NR_166062)	22815	NR_166063	108168923		NR_166062		Gm46840	-	predicted gene, 46840	ncRNA
1-15	chr13	119616134	119616133	+	0.528571428571429	NA	Intergenic	Intergenic	-7686	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-19	chr17	39845783	39845782	-	0.444444444444444	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	2785	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
1-30	chr9	3035731	3035730	-	0.438202247191011	NA	Intergenic	GSAT_MM|Satellite|Satellite	3013	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-12	chr13	9834370	9834369	+	0.422535211267606	NA	Intergenic	L1Md_T|LINE|L1	-69048	NM_001199141	66505		NM_144516	ENSMUSG00000021156	Zmynd11	2210402G22Rik|BS69	zinc finger, MYND domain containing 11	protein-coding
1-18	chr17	39845752	39845751	-	0.402439024390244	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	2754	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
1-2	chr1	88230603	88230602	+	0.394736842105263	NA	intron (NM_001281466, intron 4 of 41)	intron (NM_001281466, intron 4 of 41)	3582	NM_001281466	100040766		NM_001177364	ENSMUSG00000079429	Mroh2a	Heatr7b1	maestro heat-like repeat family member 2A	protein-coding
