PeakID (cmd=annotatePeaks.pl filtered_anova_cluster5.tsv mm10 -go filtered_anova_cluster5_anno_go -annStats filtered_anova_cluster5_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-14	chr17	35430134	35430133	-	0.777777777777778	NA	TTS (NM_001368741)	TTS (NM_001368741)	5283	NM_207648	110557		NM_207648	ENSMUSG00000073409	H2-Q6	0610037M15Rik|H-2Q6|H2-K1|Qa-6|Qa6	histocompatibility 2, Q region locus 6	protein-coding
1-80	chr6	47745991	47745990	+	0.769230769230769	NA	Intergenic	RMER12B|LTR|ERVK	-1759	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
1-79	chr6	47744009	47744008	+	0.75609756097561	NA	TTS (NR_002841).2	TTS (NR_002841).2	223	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
1-81	chr6	47748349	47748348	+	0.736842105263158	NA	Intergenic	Intergenic	-4117	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
1-84	chr8	29199630	29199629	-	0.727272727272727	NA	intron (NM_001347499, intron 1 of 16)	L1Md_T|LINE|L1	20007	NM_001347500	210801		NM_153135	ENSMUSG00000063626	Unc5d	D930029E11Rik|Unc5h4|mKIAA1777	unc-5 netrin receptor D	protein-coding
1-6	chr12	20233349	20233348	-	0.71875	NA	Intergenic	MMERGLN-int|LTR|ERV1	582431	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-33	chr4	147402022	147402021	-	0.692307692307692	NA	Intergenic	RLTR10|LTR|ERVK	-41093	NM_001371349	195531		NM_001039209	ENSMUSG00000078496	Zfp982	Gm13152	zinc finger protein 982	protein-coding
1-25	chr4	145669686	145669685	-	0.642857142857143	NA	Intergenic	Intergenic	-1012	NM_001103158	100041379		NM_001103158	ENSMUSG00000058186	Zfp980	Gm13242	zinc finger protein 980	protein-coding
1-76	chr5	95010693	95010692	+	0.636363636363636	NA	intron (NR_044992, intron 1 of 3)	RMER16-int|LTR|ERVK	22066	NR_044992	622894		NR_044992		Pramel59	EG622894|Gm6367	PRAME like 59	pseudo
1-39	chr5	14963510	14963509	+	0.615384615384615	NA	intron (NR_001584, intron 2 of 3)	intron (NR_001584, intron 2 of 3)	15390	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-85	chr9	3028886	3028885	+	0.581395348837209	NA	Intergenic	GSAT_MM|Satellite|Satellite	9858	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-34	chr4	147420445	147420444	+	0.564102564102564	NA	Intergenic	Intergenic	-22670	NM_001371349	195531		NM_001039209	ENSMUSG00000078496	Zfp982	Gm13152	zinc finger protein 982	protein-coding
1-2	chr10	81178088	81178087	-	0.540540540540541	NA	promoter-TSS (NR_028549)	promoter-TSS (NR_028549)	-874	NR_028549	100217454		NR_028549	ENSMUSG00000064441	Snord37	MBII-376	small nucleolar RNA, C/D box 37	snoRNA
1-54	chr5	15468784	15468783	+	0.5	NA	Intergenic	Intergenic	7753	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-35	chr4	147808991	147808990	+	0.5	NA	intron (NM_001127189, intron 1 of 5)	intron (NM_001127189, intron 1 of 5)	798	NM_001127189	100041677		NM_001127189	ENSMUSG00000078495	Zfp984	Gm13157	zinc finger protein 984	protein-coding
1-3	chr11	3102386	3102385	-	0.428571428571429	NA	Intergenic	GSAT_MM|Satellite|Satellite	-21617	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
